,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview
0,1891,The Empire Strikes Back,1980-05-20,124,"Adventure,Action,Fiction",18000000,538400000,8.4,14567,26.96,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."
1,8536,Superman II,1980-12-04,127,"Fiction,Action,Adventure",54000000,190458706,6.7,1874,16.237,"Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by General Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman and rule the world. But Superman, who attempts to make himself human in order to get closer to Lois, realizes he has a responsibility to save the planet."
2,525,The Blues Brothers,1980-06-16,133,"Music,Comedy,Action,Crime",27000000,115229890,7.8,3498,12.911,"Jake Blues, just released from prison, puts his old band back togther to save the Catholic home where he and his brother Elwood were raised."
3,19494,Nine to Five,1980-12-18,110,Comedy,10000000,103300000,6.9,380,8.547,"Frank Hart is a pig. He takes advantage in the grossest manner of the women who work with him. When his three assistants manage to trap him in his own house they assume control of his department and productivity leaps, but just how long can they keep Hart tied up?"
4,21629,Stir Crazy,1980-12-12,111,Comedy,10000000,101300000,6.5,345,11.162,"New Yorkers Skip Donahue and Harry Monroe have no jobs and no prospects, so they decide to flee the city and find work elsewhere, landing jobs wearing woodpecker costumes to promote the opening of a bank. When their feathery costumes are stolen and used in a bank robbery, they no longer have to worry about employment — they're sent to prison."
5,813,Airplane!,1980-07-02,88,Comedy,3500000,83453539,7.3,3659,24.889,"The persons and events in this film are fictitious - fortunately! A masterpiece of off-the-wall comedy, Airplane! features Robert Hays as an ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning; Julie Hagerty as his girlfriend/stewardess/co-pilot; and a cast of all-stars including Robert Stack, Lloyd Bridges, Peter Graves, Leslie Nielsen, Kareem Abdul-Jabbar... and more. Their hilarious high jinks spoof airplane disaster flicks, religious zealots, television commercials, romantic love... the list whirls by in rapid succession. And the story races from one moment of zany fun to the next."
6,17169,Any Which Way You Can,1980-12-17,115,"Action,Adventure,Comedy",15000000,70687344,5.9,255,10.053,"Philo takes part in a bare knuckle fight - as he does - to make some more money than he can earn from his car repair business. He decides to retire from fighting, but when the Mafia come along and arrange another fight, he is pushed into it. A motorcycle gang and an orangutan called Clyde all add to the 'fun'."
7,10765,Private Benjamin,1980-10-06,109,Comedy,15000000,69800000,6.0,308,7.874,A sheltered young high society woman joins the army on a whim and finds herself in a more difficult situation than she ever expected.
8,16769,Coal Miner's Daughter,1980-03-07,125,"Music,Drama",15000000,67182787,7.3,191,5.696,"Biography of Loretta Lynn, a country and western singer that came from poverty to fame."
9,12705,Smokey and the Bandit II,1980-08-15,100,"Action,Comedy",17000000,66132626,5.6,223,10.094,"The Bandit goes on another cross-country run, transporting an elephant from Florida to Texas. And, once again, Sheriff Buford T. Justice is on his tail."
10,8393,The Gods Must Be Crazy,1980-09-10,109,"Action,Comedy",5000000,60000000,7.3,897,31.26,A Coca-Cola bottle dropped from an airplane raises havoc among a normally peaceful tribe of African bushmen who believe it to be a utensil of the gods.
11,4488,Friday the 13th,1980-05-09,95,Horror,550000,59754601,6.4,2277,48.757,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.
12,5689,The Blue Lagoon,1980-07-05,104,"Romance,Adventure",4500000,58853106,6.2,1498,34.344,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?"
13,16619,Ordinary People,1980-09-19,124,Drama,6000000,54766923,7.5,487,7.86,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together."
