,original_title,id,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor,predicted_goodness
0,The Empire Strikes Back,1891,124,"Adventure,Action,Fiction",18000000,538400000,8.4,14567,26.96,1980,5,20,66660341.72342311,1993884887.9939463,1927224546.2705235,9.766115060692115,9.363770969469437,0.0,4.822816088439929,5.98817552965037,7.088229514936825
1,Superman II,8536,127,"Fiction,Action,Adventure",54000000,190458706,6.7,1874,16.237,1980,12,4,199981025.17026937,705335690.3422766,505354665.1720072,9.299369957436426,7.543884618508083,0.0,4.570040087261444,5.353323665801488,7.088265311940636
2,The Blues Brothers,525,133,"Music,Comedy,Action,Crime",27000000,115229890,7.8,3498,12.911,1980,6,16,99990512.58513469,426736880.230692,326746367.64555734,9.183289723336047,8.16425882329553,0.0,4.161755358616755,5.377325976312084,7.125298059287034
3,Nine to Five,19494,110,Comedy,10000000,103300000,6.9,380,8.547,1980,12,18,37033523.17967951,382556294.4460895,345522771.26640993,9.19698655667256,6.2919613669847045,0.0,10.0,6.372236980914316,7.002181361351425
4,Stir Crazy,21629,111,Comedy,10000000,101300000,6.5,345,11.162,1980,12,12,37033523.17967951,375149589.8101534,338116066.6304739,9.191632844165351,6.166991620739836,0.0,7.781389463317852,5.78500348205576,7.0865895267234515
5,Airplane!,813,88,Comedy,3500000,83453539,7.3,3659,24.889,1980,7,2,12961733.112887831,309057857.098279,296096123.98539114,9.16000318446828,8.147272681033499,0.0,4.241611632744427,5.387221874561551,6.524271088586604
6,Any Which Way You Can,17169,115,"Action,Adventure,Comedy",15000000,70687344,5.9,255,10.053,1980,12,17,55550284.76951926,261780139.253398,206229854.4838788,9.083908372443682,5.847960500189034,0.0,6.071250033605381,5.250779726559524,6.872272179429067
7,Private Benjamin,10765,109,Comedy,15000000,69800000,6.0,308,7.874,1980,10,6,55550284.76951926,258493991.79416296,202943707.0246437,9.08086878699267,6.012334302283839,0.0,8.109485493949792,5.800672145806576,7.237488065875815
8,Coal Miner's Daughter,16769,125,"Music,Drama",15000000,67182787,7.3,191,5.696,1980,3,7,55550284.76951926,248801529.9639972,193251245.19447783,9.07178313295871,5.78715811728543,0.0,4.733760170053105,4.898175355074312,7.000280213994111
9,Smokey and the Bandit II,12705,100,"Action,Comedy",17000000,66132626,5.6,223,10.094,1980,8,15,62956989.40545517,244912413.79040763,181955424.3849525,9.06095977142462,5.699066094299886,0.0,5.283220467720344,5.010811583361213,6.91770791072374
10,The Gods Must Be Crazy,8393,109,"Action,Comedy",5000000,60000000,7.3,897,31.26,1980,9,10,18516761.58983976,222201139.07807705,203684377.4882373,9.081555663623892,7.023524389820962,0.0,8.109485493949792,6.053641386848662,7.202949824269045
11,Friday the 13th,4488,95,Horror,550000,59754601,6.4,2277,48.757,1980,5,9,2036843.7748823725,221292340.12260008,219255496.3477177,9.095760332261412,7.662961812663243,0.0,4.759539621348529,5.379565441568296,7.114362262918452
12,The Blue Lagoon,5689,104,"Romance,Adventure",4500000,58853106,6.2,1498,34.344,1980,7,5,16665085.430855775,217953786.52471367,201288701.09385788,9.079330214897253,7.302889146377431,0.0,5.918707639071406,5.575231750086522,6.990316851159633
