original_title,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor
The Empire Strikes Back,124,"Adventure,Action,Fiction",18000000,538400000,8.4,14567,26.96,1980,5,20,66660341.72342311,1993884887.9939463,1927224546.2705235,7.728577489183305,9.363770969469437,0.0,3.0415401526984485,5.033472152837798
Superman II,127,"Fiction,Action,Adventure",54000000,190458706,6.7,1874,16.237,1980,12,4,199981025.17026937,705335690.3422766,505354665.1720072,4.621564225764274,7.543884618508083,0.0,2.737820558606711,3.725817350719767
The Blues Brothers,133,"Music,Comedy,Action,Crime",27000000,115229890,7.8,3498,12.911,1980,6,16,99990512.58513469,426736880.230692,326746367.64555734,4.06678586622529,8.16425882329553,0.0,2.25801738378345,3.6222655183260675
Nine to Five,110,Comedy,10000000,103300000,6.9,380,8.547,1980,12,18,37033523.17967951,382556294.4460895,345522771.26640993,4.128615599456032,6.2919613669847045,0.0,10.0,5.105144241610184
Stir Crazy,111,Comedy,10000000,101300000,6.5,345,11.162,1980,12,12,37033523.17967951,375149589.8101534,338116066.6304739,4.104336945366772,6.166991620739836,0.0,6.895361408722341,4.291672493707237
Airplane!,88,Comedy,3500000,83453539,7.3,3659,24.889,1980,7,2,12961733.112887831,309057857.098279,296096123.98539114,3.9637845606280324,8.147272681033499,0.0,2.3507899095188587,3.6154617877950974
Any Which Way You Can,115,"Action,Adventure,Comedy",15000000,70687344,5.9,255,10.053,1980,12,17,55550284.76951926,261780139.253398,206229854.48387876,3.6450464694883635,5.847960500189034,0.0,4.608678927952807,3.525421474407551
Private Benjamin,109,Comedy,15000000,69800000,6.0,308,7.874,1980,10,6,55550284.76951926,258493991.79416296,202943707.0246437,3.6328611842344887,6.012334302283839,0.0,7.3471119141906565,4.248076850177246
Coal Miner's Daughter,125,"Music,Drama",15000000,67182787,7.3,191,5.696,1980,3,7,55550284.76951926,248801529.96399716,193251245.19447783,3.5966803534016436,5.78715811728543,0.0,2.93396999444299,3.079452116282516
Smokey and the Bandit II,100,"Action,Comedy",17000000,66132626,5.6,223,10.094,1980,8,15,62956989.40545517,244912413.79040763,181955424.3849525,3.554049639238952,5.699066094299886,0.0,3.607100668163287,3.2150541004255313
The Gods Must Be Crazy,109,"Action,Comedy",5000000,60000000,7.3,897,31.26,1980,9,10,18516761.589839756,222201139.07807705,203684377.4882373,3.6356112119717245,7.023524389820962,0.0,7.3471119141906565,4.501561878995836
Friday the 13th,95,Horror,550000,59754601,6.4,2277,48.757,1980,5,9,2036843.7748823725,221292340.12260008,219255496.3477177,3.6929510198089597,7.662961812663243,0.0,2.965046124366789,3.5802397392097483
The Blue Lagoon,104,"Romance,Adventure",4500000,58853106,6.2,1498,34.344,1980,7,5,16665085.430855775,217953786.52471367,201288701.09385788,3.6267087943155016,7.302889146377431,0.0,4.411761987908632,3.835339982150391
Ordinary People,124,Drama,6000000,54766923,7.5,487,7.86,1980,9,19,22220113.907807708,202821211.2400223,180601097.3322146,3.5489039948726027,6.556913862825545,0.0,3.0415401526984485,3.286839502599149
American Gigolo,117,"Crime,Drama,Mystery",5000000,52700000,6.1,490,18.745,1980,2,8,18516761.589839756,195166667.15691105,176649905.5670713,3.5338489793959083,6.396672818426274,0.0,4.103831165736279,3.5085882408896154
Popeye,114,"Action,Adventure,Comedy,Family",20000000,49823037,5.4,487,12.649,1980,12,12,74067046.35935901,184512259.56215292,110445213.20279394,3.2713025192203395,6.294335661868431,0.0,4.939557128746698,3.626298827458867
The Shining,144,"Horror,Thriller",19000000,44781695,8.2,14850,50.34,1980,5,23,70363694.04139107,165842393.98078385,95478699.93939278,3.2089746548298255,9.359889190258022,0.0,1.6211318543381104,3.547498924856489
Fame,134,"Drama,Music",8500000,42000000,6.5,362,10.472,1980,5,16,31478494.702727582,155540797.35465398,124062302.6519264,3.3269964021166754,6.205438504213574,0.0,2.1896720913454186,2.9305267494189167
Caddyshack,98,Comedy,6000000,39846344,6.6,917,10.793,1980,7,25,22220113.907807708,147565050.4149484,125344936.5071407,3.332194404011288,6.960575871100438,0.0,3.319094866997562,3.402966285527322
Brubaker,125,"Crime,Drama",9000000,37121708,7.1,369,9.312,1980,6,20,33330170.861711554,137474763.3687294,104144592.50701784,3.245209560682719,6.291320926909518,0.0,2.93396999444299,3.117625120508807
Dressed to Kill,105,"Mystery,Thriller,Horror",6500000,31899000,6.9,672,11.78,1980,7,25,24071790.06679168,118133235.59085973,94061445.52406804,3.203009653274431,6.747640480135106,0.0,4.699377407242841,3.6625068851630944
Flash Gordon,111,"Fiction,Adventure",35000000,27107960,6.2,750,12.546,1980,9,1,129617331.12887828,100390326.50138251,-29227004.62749575,2.632884531795088,6.749912729781273,0.0,6.895361408722341,4.069539667574675
The Elephant Man,124,"Drama,History",5000000,26010864,8.1,2755,12.172,1980,10,9,18516761.589839756,96327393.48674922,77810631.89690946,3.133801133048911,8.003569663236592,0.0,3.0415401526984485,3.5447277372459878
Bronco Billy,116,"Drama,Romance,Comedy",6500000,24265583,6.3,199,8.871,1980,6,11,24071790.06679168,89864003.04989368,65792212.983102,3.081617762450087,5.702196282589726,0.0,4.335979064537514,3.2799482773943316
Raging Bull,129,"Drama,History",18000000,23000000,8.0,3464,14.337,1980,11,14,66660341.72342311,85177103.31326288,18516761.58983977,2.8671490561860287,8.176688507632912,0.0,2.562342096666572,3.401544915121378
Xanadu,96,"Fantasy,Fiction,Romance",20000000,22762571,5.7,203,9.455,1980,8,8,74067046.35935901,84297820.07576005,10230773.71640104,2.8278842718116244,5.638105370748304,0.0,3.074742673261191,2.88518307895528
The Fog,89,Horror,1000000,21378361,6.7,1152,17.369,1980,2,8,3703352.3179679504,79171602.76370566,75468250.4457377,3.1236990265096227,7.154957466062501,0.0,2.4259875150868893,3.1761610019147533
Altered States,102,"Horror,Fiction,Thriller",15000000,19853892,6.7,503,15.686,1980,12,25,55550284.76951926,73525956.95888534,17975672.18936608,2.8646014227269587,6.492593433390089,0.0,3.9587201747611567,3.328978757719551
Rough Cut,112,"Adventure,Comedy,Crime,Mystery,Romance",14000000,16656125,5.8,26,2.847,1980,6,19,51846932.451551326,61683499.127113946,9836566.67556262,2.8260026495093116,4.009327218282248,0.0,5.943385571503152,3.1946788598236777
The Final Countdown,103,"War,Action,Fiction",12000000,16647800,6.6,456,12.673,1980,1,31,44440227.815615416,61652668.71906687,17212440.903451458,2.8610040126957506,6.40216275008209,0.0,4.1689633612888715,3.3580325310166783
The Long Riders,99,"Western,Crime,Action",10000000,15795189,6.6,169,6.812,1980,5,16,37033523.17967951,58495149.79589189,21461626.616212383,2.8809749894422523,5.608767483957036,0.0,3.456653714095997,2.9865990468738213
The Island,114,"Action,Adventure,Thriller,Horror,Mystery",22000000,15700000,5.2,62,5.158,1980,6,13,81473750.99529491,58142631.392096855,-23331119.60319806,2.662929481044013,4.616677509693186,0.0,4.939557128746698,3.054791029870974
Prom Night,92,"Horror,Mystery,Thriller",1500000,14796236,5.7,310,12.942,1980,7,18,5555028.476951927,54795674.88780084,49240646.41084892,3.008270317928036,5.976508384342024,0.0,2.673904464568282,2.914670791709585
Atlantic City,104,"Crime,Drama,Romance",7200000,12729675,6.9,188,6.121,1980,9,3,26664136.68936924,47142471.41822869,20478334.72885945,2.876365893957442,5.729460048192815,0.0,4.411761987908632,3.2543969825147223
The Changeling,103,Horror,7600000,12000000,7.0,446,11.967,1980,3,28,28145477.61655644,44440227.815615416,16294750.199058976,2.85667257631982,6.431470944403836,0.0,4.1689633612888715,3.364276720503132
Used Cars,113,Comedy,8000000,11715321,6.4,181,7.884,1980,7,11,29626818.543743603,43385961.18108864,13759142.63734503,2.84467039829827,5.639002895689791,0.0,5.361010890650784,3.4611710461597114
Battle Beyond the Stars,104,"Fiction,Action,Adventure",2000000,11000000,5.4,141,10.425,1980,9,8,7406704.635935901,40736875.49764746,33330170.861711554,2.9360370781593543,5.303581439242753,0.0,4.411761987908632,3.1628451263276847
